trial_id,status,val_accuracy,hw_val_accuracy,float_val_accuracy,quant_gap,deployable,weight_clip_frac,min_threshold,feasible,epochs_run,stopped_early,synops_per_sample,neurons,connections,params,depth,channels,kernel_size,stride,downsample_mode,resize_to,T,tau,trainable_tau,trainable_threshold,fc_layers,final_reduction,dropout_rate,norm,tdbn_alpha,optimizer,lr,weight_decay,scheduler,label_smoothing,grad_clip
6344749a,deployed,,,0.0,,False,,,False,0,False,,,,,2,32,7,,pool,64,8,2,True,True,0,flatten,0.11717361399850788,tdbn,1.0379946318225057,adamw,0.0015333347180301448,0.004062496790976005,step,0.01935299566246338,5.0
cc37d57d,deployed,,,0.0,,False,,,False,0,False,,,,,2,64,5,2,stride,64,16,6,True,True,1,flatten,0.2460142710621939,bn,,adamw,0.0006106798961829203,1.412051450816778e-05,onecycle,0.1334918911885624,0.0
ae9fd548,deployed,,,0.0,,False,,,False,0,False,,,,,4,32,7,2,stride,32,16,63,False,False,0,flatten,0.2953004077968512,tdbn,1.0044439865703871,adamw,0.0009907659983632371,0.0010226697134052799,cosine,0.02351919798012081,0.0
09a5f67b,deployed,,,0.0,,False,,,False,0,False,,,,,4,64,7,2,stride,32,8,3,False,False,0,flatten,0.23051903848535102,bn,,adamw,0.000876761967442513,0.0004069753953249789,step,0.02692629776714757,5.0
6ad6da88,pruned_before_deploy,,,0.5909090909090909,,,,,,8,False,,,,,3,32,7,2,stride,64,16,6,True,False,1,flatten,0.29101864987000997,tdbn,0.7990995401333747,adam,0.001214143119525983,3.725688210666361e-05,cosine,0.02191039270790758,5.0
e3feeb98,deployed,,,0.0,,False,,,False,0,False,,,,,2,64,5,2,stride,64,16,8,True,False,1,flatten,0.41846280520219503,tdbn,1.1940592472576146,adamw,0.0005381756163423706,0.0021658522720696422,none,0.1697370698027577,5.0
1fd7be46,pruned_before_deploy,,,0.5681818181818182,,,,,,8,False,,,,,4,64,7,2,stride,64,16,63,True,True,1,flatten,0.4316176584504001,tdbn,1.3895880762291872,adam,0.003290693641059445,0.0006119719862306387,cosine,0.041880582742043454,0.0
a4982510,pruned_before_deploy,,,0.6420454545454546,,,,,,8,False,,,,,2,32,7,,pool,32,16,2,False,True,0,flatten,0.1824285727465598,tdbn,1.6539737254491473,adam,0.0010887367973329697,2.741632431457408e-05,none,0.08026762096771295,5.0
7949be12,pruned_before_deploy,,,0.3806818181818182,,,,,,8,False,,,,,4,32,7,2,stride,64,8,3,False,False,0,flatten,0.3443944208974643,bn,,adamw,0.0008171167132143396,0.00014860535660242825,onecycle,0.193282430383673,5.0
2a6428bc,pruned_before_deploy,,,0.3522727272727273,,,,,,8,False,,,,,4,32,5,,pool,32,16,4,False,True,0,flatten,0.27942242860021427,bn,,adamw,0.0007690539140655618,4.452678665132326e-05,none,0.10569112179512088,1.0
c383bf57,deployed,,,0.0,,False,,,False,0,False,,,,,2,32,7,,pool,64,8,63,True,True,0,flatten,0.42482662125785287,bn,,adam,0.004582181822697552,2.426305184707434e-05,none,0.1942596274741795,1.0
57a01a92,deployed,,,0.0,,False,,,False,0,False,,,,,4,32,7,2,stride,32,8,2,False,True,1,flatten,0.27882537802792373,bn,,adam,0.0006186964664323432,1.2528393050436252e-07,step,0.015719700646539915,5.0
4cd756b8,deployed,,,0.0,,False,,,False,0,False,,,,,2,64,7,2,stride,64,16,8,False,False,0,flatten,0.3803180942552088,bn,,adam,0.0023399361495323877,3.8020291496984265e-06,cosine,0.1168666527501598,5.0
